FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
565,558,218,175,11,8,5,4,0
576,553,221,176,12,8,3,4,0
570,564,235,188,12,8,4,4,0
571,568,241,192,12,9,0,4,0
572,565,241,193,12,8,0,4,0
581,564,241,193,13,8,0,5,0
577,570,245,195,13,8,4,6,0
562,561,252,201,13,9,4,0,0
575,568,249,200,12,8,0,4,0
585,569,248,199,12,8,0,2,0
573,569,251,203,12,8,0,4,0
589,572,246,196,12,8,0,6,0
575,569,250,199,12,9,0,5,0
588,572,249,202,12,8,0,4,0
580,573,251,200,13,9,0,3,0
579,570,256,206,12,9,0,4,0
589,572,254,203,12,8,0,5,0
591,574,254,204,12,7,0,4,0
591,573,259,206,12,9,0,4,0
592,571,260,206,12,9,0,4,0
584,576,260,206,12,9,0,4,0
592,576,263,209,12,8,0,4,0
589,573,264,207,12,8,0,4,0
590,573,264,209,12,8,0,5,0
593,575,263,208,12,8,0,4,0
587,572,266,209,12,9,0,3,0
586,568,266,211,12,8,0,2,0
589,571,265,210,13,8,0,4,0
593,576,264,209,12,8,0,5,0
586,568,266,210,12,8,0,5,0
588,570,268,210,13,8,0,4,0
588,558,265,210,12,8,0,5,0
579,554,256,202,12,8,3,5,0
581,548,249,179,12,6,5,6,0
562,519,239,172,11,4,4,6,0
566,538,223,164,12,7,13,0,0
563,540,224,171,11,7,5,0,0
566,540,228,173,11,8,8,0,0
566,541,231,175,11,8,10,0,0
566,542,233,177,11,8,10,0,0
568,543,237,174,11,8,10,0,0
569,544,238,176,11,8,10,0,0
569,545,240,178,11,8,9,0,0
569,546,240,180,11,8,10,0,0
569,545,241,181,11,8,11,0,0
571,546,243,180,11,8,5,0,0
570,547,244,181,11,8,11,0,0
570,547,244,181,11,8,11,0,0
570,547,245,181,11,8,11,0,0
571,548,245,181,11,8,11,0,0
571,548,245,182,10,8,12,0,0
571,549,247,182,11,8,10,0,0
571,549,247,183,11,8,11,0,0
572,549,247,183,11,8,11,0,0
573,550,248,182,11,8,9,1,0
572,550,247,183,12,8,12,0,0
574,550,249,184,11,8,11,0,0
574,551,249,184,11,8,8,0,0
573,550,248,184,11,8,11,0,0
574,551,250,184,11,8,7,0,0
573,551,249,185,11,8,11,3,0
574,551,250,184,12,8,11,0,0
575,552,252,184,12,8,8,0,0
574,552,251,185,11,7,10,0,0
574,552,250,185,12,8,11,0,0
574,552,252,185,12,8,9,0,0
575,553,253,186,12,8,10,0,0
575,553,252,186,12,8,11,0,0
575,552,253,186,11,7,11,0,0
575,553,253,186,11,8,10,1,0
575,553,253,186,11,7,11,2,0
575,553,252,187,11,8,10,0,0
575,553,253,187,12,8,8,0,0
575,553,253,187,11,7,11,1,0
575,554,253,186,11,8,11,0,0
576,555,252,187,12,8,10,0,0
576,553,253,188,11,8,11,0,0
576,553,254,188,12,8,11,0,0
576,554,254,188,12,7,8,0,0
575,553,254,189,12,8,11,0,0
575,553,254,189,12,8,11,0,0
577,555,255,188,12,7,8,0,0
576,554,254,189,12,8,10,0,0
577,555,255,189,11,8,12,0,0
576,555,255,189,12,8,10,0,0
576,555,254,189,12,8,11,0,0
576,555,253,188,12,8,10,0,0
578,555,251,188,11,8,8,0,0
577,555,251,188,11,8,11,1,0
577,556,252,188,12,8,8,0,0
578,556,253,189,12,9,10,2,0
578,555,253,188,11,9,9,1,0
578,555,254,188,12,8,8,0,0
578,555,254,190,12,8,10,2,0
577,555,253,189,12,8,11,1,0
578,556,254,190,11,8,7,0,0
578,556,252,190,11,8,11,2,0
579,556,254,189,11,8,10,0,0
579,557,254,190,12,8,10,1,0
578,556,253,189,12,8,10,0,0
580,556,255,189,11,9,8,0,0
579,557,251,188,12,9,11,0,0
580,556,249,188,12,9,11,0,0
580,557,251,188,12,10,9,0,0
579,557,250,187,12,9,11,0,0
580,556,251,188,12,9,11,0,0
581,557,253,188,12,9,8,0,0
580,557,252,189,12,9,11,0,0
581,557,252,189,12,9,9,0,0
580,557,249,188,12,9,12,0,0
581,557,247,188,12,9,11,0,0
582,557,251,188,12,9,8,0,0
581,557,250,189,12,9,11,0,0
581,558,249,189,12,9,12,0,0
